protocol_id,width,left,right,sum,prime,left_valuation,right_valuation,preserved_lower_bound,exact_sum_valuation,exact_without_refresh,sidecar_status,notes
PAH-BUILD002-CONF0001,4,3,2,5,2,0,1,0,0,true,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-0: unequal 2-adic valuations
PAH-BUILD002-CONF0001,4,3,2,5,3,1,0,0,0,true,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-0: unequal 2-adic valuations
PAH-BUILD002-CONF0001,4,3,2,5,5,0,0,0,1,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-0: unequal 2-adic valuations
PAH-BUILD002-CONF0001,4,3,2,5,7,0,0,0,0,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-0: unequal 2-adic valuations
PAH-BUILD002-CONF0001,4,2,2,4,2,1,1,1,2,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-1: equal valuation with extra cancellation
PAH-BUILD002-CONF0001,4,2,2,4,3,0,0,0,0,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-1: equal valuation with extra cancellation
PAH-BUILD002-CONF0001,4,2,2,4,5,0,0,0,0,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-1: equal valuation with extra cancellation
PAH-BUILD002-CONF0001,4,2,2,4,7,0,0,0,0,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-1: equal valuation with extra cancellation
PAH-BUILD002-CONF0001,4,5,2,7,2,0,1,0,0,true,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-2: coprime sum
PAH-BUILD002-CONF0001,4,5,2,7,3,0,0,0,0,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-2: coprime sum
PAH-BUILD002-CONF0001,4,5,2,7,5,1,0,0,0,true,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-2: coprime sum
PAH-BUILD002-CONF0001,4,5,2,7,7,0,0,0,1,false,VALID_FALSE_LOWER_BOUNDS_ONLY,E-W4-2: coprime sum
