protocol_id,width,magnitude,kind,pure_vfu_support,sidecar_support,catalog_valuation_bits_set,sidecar_state_bits,notes
PAH-BUILD002-CONF0001,4,1,ODD_CATALOG_ROUGH_SAMPLE,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,0,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,11,PRIME_OUTSIDE_S4,UNSUPPORTED_COFACTOR,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,0,12,Pure S4 state cannot retain the unsupported cofactor; sidecar magnitude remains exact.
PAH-BUILD002-CONF0001,4,13,PRIME_OUTSIDE_S4,UNSUPPORTED_COFACTOR,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,0,12,Pure S4 state cannot retain the unsupported cofactor; sidecar magnitude remains exact.
PAH-BUILD002-CONF0001,4,0,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,7,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,1,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,0,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,2,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,1,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,3,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,1,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,4,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,2,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,5,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,1,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,6,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,2,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,7,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,1,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,8,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,3,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,9,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,2,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,10,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,2,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,11,SMALL_0_THROUGH_15,UNSUPPORTED_COFACTOR,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,0,12,Pure S4 state cannot retain the unsupported cofactor; sidecar magnitude remains exact.
PAH-BUILD002-CONF0001,4,12,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,3,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,13,SMALL_0_THROUGH_15,UNSUPPORTED_COFACTOR,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,0,12,Pure S4 state cannot retain the unsupported cofactor; sidecar magnitude remains exact.
PAH-BUILD002-CONF0001,4,14,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,2,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,4,15,SMALL_0_THROUGH_15,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,2,12,Pure structural state is exact on this value.
PAH-BUILD002-CONF0001,6,1,ODD_CATALOG_ROUGH_SAMPLE,FULL_S4_STRUCTURAL,FULL_EXACT_AUTHORITATIVE_MAGNITUDE,0,19,Pure structural state is exact on this value.
